$Date,$Time,FE1_AIRFLOW,FE1_BATCHTIME,FE1_BLUELIGHT,FE1_CO2FLOW,FE1_DO,FE1_FEEDRATEA,FE1_FEEDRATEB,FE1_LEVEL,FE1_OD,FE1_PH,FE1_REDLIGHT,FE1_STIRRERSPEED,FE1_SUMACID,FE1_SUMBASE,FE1_TEMPERATURE
12/12/18,10:12:00 AM,1000,0.5694444,4009.353,16.00772,71.54128,0,0,8.325449,20.23728,7.306549,10830.24,148.2511,0,0,29.83809
12/12/18,10:13:00 AM,1000,0.5877778,4029.539,16.01993,71.33904,0,0,13.30912,20.14572,7.306549,10880.55,148.2511,0,0,29.83809
12/12/18,10:14:00 AM,1000,0.6033333,4049.687,16.00772,71.33904,400,0,2.343822,18.0705,7.306549,10931.22,148.2511,0,0,29.83809
12/12/18,10:15:00 AM,1000,0.6191667,4079.848,16.01382,71.33904,400,0,98.70602,17.03288,7.306549,10991.71,148.2511,0,0,29.83809
12/12/18,10:16:00 AM,1000,0.6377778,4100.035,16.00772,71.33904,0,0,98.70602,16.66667,7.306549,11042.29,148.2511,0,0,29.83809
12/12/18,10:17:00 AM,1000,0.6530556,4120.183,16.00162,71.53976,374.5208,0,98.70602,15.59854,7.306549,11103.15,148.2511,0,0,29.83809
12/12/18,10:18:00 AM,1000,0.6686111,4150.423,16.00772,71.53976,385.6028,0,98.70602,15.75113,7.306549,11153.91,148.2511,0,0,29.83809
12/12/18,10:19:00 AM,1000,0.6875,4170.491,16.01382,71.33832,396.2829,0,98.70602,15.99527,7.326953,11204.31,148.2511,0,0,29.83809
12/12/18,10:20:00 AM,1000,0.7030556,4190.678,16.02603,71.13017,396.5839,0,98.70602,15.75113,7.326953,11265.35,148.2511,0,0,29.73475
12/12/18,10:21:00 AM,1000,0.7183333,4220.918,16.01993,71.13017,235.2617,0,98.70602,14.04212,7.326953,11315.74,148.2511,0,0,29.73475
12/12/18,10:22:00 AM,1000,0.7369444,4241.105,16.00772,70.91508,207.4413,0,98.70602,12.48569,7.326953,11366.5,148.2511,0,0,29.73475
12/12/18,10:23:00 AM,1000,0.7527778,4271.228,16.00772,70.91508,214.7455,0,98.70602,12.60777,7.347292,11426.82,148.2511,0,0,29.73475
12/12/18,10:24:00 AM,1000,0.7683333,4291.415,16.01993,70.91508,222.7496,0,98.70602,12.97398,7.347292,11477.49,148.2511,0,0,29.83809
12/12/18,10:25:00 AM,1000,0.7869444,4311.562,16.01993,71.13121,233.9999,0,98.70602,13.3402,7.347292,11537.8,148.2511,0,0,29.83809
12/12/18,10:26:00 AM,1000,0.8022222,4341.842,16.01993,71.13121,247.239,0,98.70602,13.85901,7.347292,11588.56,148.2511,0,0,29.83809
12/12/18,10:27:00 AM,1000,0.8211111,4361.989,16.01382,71.13121,132.2723,0,98.70602,14.10315,7.347292,11649.15,148.2511,0,0,29.83809
12/12/18,10:28:00 AM,1000,0.8366667,4382.176,16.01382,71.13121,134.7925,0,98.70602,13.98108,7.347292,11700,148.2511,0,0,29.83809
12/12/18,10:29:00 AM,1000,0.8522222,4412.298,16.01382,71.33505,138.2444,0,98.70602,14.10315,7.347292,11750.4,148.2511,0,0,29.83809
12/12/18,10:30:00 AM,1000,0.8705556,4432.485,16.01993,71.33505,143.2331,0,98.70602,14.49989,7.367577,11811.34,148.2511,0,0,29.83809
12/12/18,10:31:00 AM,1000,0.8863889,4452.632,16.01993,71.33505,149.5454,0,98.70602,15.26284,7.367577,11862.01,148.2511,0,0,29.83809
12/12/18,10:32:00 AM,1000,0.9019444,4482.913,16.01993,71.33505,154.2139,0,98.70602,15.50698,7.367577,11912.59,148.2511,0,0,29.83809
12/12/18,10:33:00 AM,1000,0.9205556,4502.981,16.01993,71.54243,156.8977,0,98.70602,15.41543,7.367577,11973.09,148.2511,0,0,29.83809
12/12/18,10:34:00 AM,1000,0.9358333,4523.128,16.01993,71.95589,154.1146,0,98.70602,13.85901,7.367577,12023.49,148.2511,0,0,29.83809
12/12/18,10:35:00 AM,1000,0.9516667,4553.369,16.00772,72.15681,152.4695,0,98.70602,12.72984,7.367577,12084.07,148.2511,0,0,29.83809
12/12/18,10:36:00 AM,1000,0.9702778,4573.556,16.01993,72.15681,157.0231,0,98.70602,13.21813,7.367577,12134.83,148.2511,0,0,29.83809
12/12/18,10:37:00 AM,1000,0.9858333,4603.717,16.01993,72.15681,162.1783,0,98.70602,13.73693,7.367577,12185.05,148.2511,0,0,29.83809
12/12/18,10:38:00 AM,1000,1.004167,4623.864,16.01993,72.35906,167.5538,0,98.70602,14.3473,7.367577,12246,148.2511,0,0,29.83809
12/12/18,10:39:00 AM,1000,1.02,4644.051,16.00772,72.35906,173.3859,0,98.70602,15.04921,7.367577,12296.67,148.2511,0,0,29.83809
12/12/18,10:40:00 AM,1000,1.035556,4674.292,16.01993,72.35906,180.5161,0,98.70602,15.90372,7.367577,12357.43,148.2511,0,0,29.83809
12/12/18,10:41:00 AM,1000,1.054167,4694.439,16.00772,72.35906,0,0,98.70602,16.97185,7.367577,12408.29,148.2511,0,0,29.83809
12/12/18,10:42:00 AM,1000,1.069444,4714.507,16.00772,72.35906,0,0,98.70602,18.13153,7.367577,12458.59,148.2511,0,0,29.83809
12/12/18,10:43:00 AM,1000,1.085278,4744.788,16.00772,72.56155,0,0,98.70602,18.13153,7.367577,12519.36,148.2511,0,0,29.83809
12/12/18,10:44:00 AM,1000,1.103889,4764.935,16.01993,72.7655,0,0,98.70602,15.84268,7.367577,12570.03,148.2511,0,0,29.83809
12/12/18,10:45:00 AM,1000,1.119444,4785.122,16.01993,73.17038,0,0,98.70602,14.77455,7.367577,12630.34,148.2511,0,0,29.94144
12/12/18,10:46:00 AM,1000,1.134722,4815.244,16.01993,73.38444,0,0,98.70602,15.78164,7.367577,12680.65,148.2511,0,0,29.94144
12/12/18,10:47:00 AM,1000,1.153889,4835.431,16.01382,73.58495,0,0,98.70602,17.21599,7.367577,12731.32,148.2511,0,0,29.94144
12/12/18,10:48:00 AM,1000,1.169167,4855.578,16.00772,73.78664,0,0,98.70602,18.00946,7.367577,12791.63,148.2511,0,0,29.94144
12/12/18,10:49:00 AM,1000,1.187778,4885.858,16.01382,73.78664,0,0,98.70602,17.76532,7.367577,12842.39,148.2511,0,0,29.94144
12/12/18,10:50:00 AM,1000,1.203333,4906.005,16.01382,73.78664,0,0,98.70602,16.36149,7.367577,12902.98,148.2511,0,0,29.94144
12/12/18,10:51:00 AM,1000,1.219167,4936.247,16.01382,74.19593,0,0,98.70602,14.43885,7.367577,12953.83,148.2511,0,0,29.94144
12/12/18,10:52:00 AM,1000,1.2375,4956.314,16.01382,74.19593,0,0,98.70602,13.76745,7.367577,13004.23,148.2511,0,0,29.94144
12/12/18,10:53:00 AM,1000,1.253056,4976.501,16.00772,74.19593,0,0,98.70602,14.80507,7.367577,13065.18,148.2511,0,0,29.94144
12/12/18,10:54:00 AM,1000,1.268611,5006.742,16.01993,74.19593,0,0,98.70602,15.75113,7.367577,13115.85,148.2511,0,0,29.94144
12/12/18,10:55:00 AM,1000,1.2875,5026.929,16.01993,74.40269,0,0,98.70602,16.11734,7.367577,13176.61,148.2511,0,0,29.94144
12/12/18,10:56:00 AM,1000,1.302778,5046.997,16.01993,74.40269,0,0,98.70602,16.97185,7.367577,13226.92,148.2511,0,0,29.94144
12/12/18,10:57:00 AM,1000,1.318333,5077.238,16.01993,74.60814,0,0,98.70602,18.40619,7.367577,13277.59,148.2511,0,0,29.94144
12/12/18,10:58:00 AM,1000,1.337222,5097.385,16.01993,74.60814,0,0,98.70602,19.19967,7.367577,13337.9,148.2511,0,0,29.94144
12/12/18,10:59:00 AM,1000,1.352778,5117.572,16.01993,74.60814,0,0,98.70602,18.00946,7.367577,13388.48,148.2511,0,0,29.94144
12/12/18,11:00:00 AM,1000,1.371111,5147.733,16.01993,74.60814,0,0,98.70602,14.95766,7.367577,13448.98,148.2511,0,0,29.94144
12/12/18,11:01:00 AM,1000,1.386667,5167.88,16.01382,74.81213,0,0,98.70602,13.88952,7.367577,13499.83,148.2511,0,0,29.94718
12/12/18,11:02:00 AM,1000,1.4025,5188.068,16.01382,74.81213,0,0,98.70602,14.5304,7.36303,13550.5,148.2511,0,0,29.94718
12/12/18,11:03:00 AM,1000,1.421111,5218.308,16.00772,74.81213,0,0,98.70602,14.56092,7.36303,13611.26,148.2511,0,0,29.83235
12/12/18,11:04:00 AM,1000,1.436389,5238.456,16.01993,75.02419,0,0,98.70602,14.68299,7.36303,13662.12,148.2511,0,0,29.83235
12/12/18,11:05:00 AM,1000,1.451944,5268.617,16.01993,75.02419,0,0,98.70602,14.92714,7.36303,13722.61,148.2511,0,0,29.83235
12/12/18,11:06:00 AM,1000,1.470833,5288.804,16.01382,75.02419,0,0,98.70602,14.92714,7.36303,13773.19,148.2511,0,0,29.83235
12/12/18,11:07:00 AM,1000,1.486389,5308.951,16.01382,74.82303,55.77987,0,98.70602,15.04921,7.36303,13823.59,148.2511,0,0,29.83235
12/12/18,11:08:00 AM,1000,1.501667,5339.192,16.00772,74.61512,62.79688,0,98.70602,15.07973,7.36303,13884.17,148.2511,0,0,29.83235
12/12/18,11:09:00 AM,1000,1.520833,5359.26,16.01382,74.81551,67.51746,0,98.70602,14.19471,7.36303,13934.48,148.2511,0,0,29.83235
12/12/18,11:10:00 AM,1000,1.536111,5379.447,16.01382,74.81551,72.9239,0,98.70602,13.92004,7.36303,13995.25,148.2511,0,0,29.83235
12/12/18,11:11:00 AM,1000,1.551667,5409.688,16.01382,74.61465,80.3779,0,98.70602,14.5304,7.36303,14045.92,148.2511,0,0,29.83235
12/12/18,11:12:00 AM,1000,1.570278,5429.875,16.01382,74.61465,88.99097,0,98.70602,15.44594,7.36303,14096.77,148.2511,0,0,29.83235
12/12/18,11:13:00 AM,1000,1.586111,5450.022,16.01382,74.61465,98.55177,0,98.70602,16.45304,7.36303,14157.26,148.2511,0,0,29.83235
12/12/18,11:14:00 AM,1000,1.604444,5480.263,16.01382,74.61465,105.9097,0,98.70602,16.2089,7.36303,14208.11,148.2511,0,0,29.83235
12/12/18,11:15:00 AM,1000,1.62,5500.331,16.01382,74.41339,112.1827,0,98.70602,15.56802,7.36303,14268.7,148.2511,0,0,29.83235
12/12/18,11:16:00 AM,1000,1.635556,5520.518,16.01993,74.21239,119.8389,0,98.70602,15.75113,7.36303,14319.46,148.2511,0,0,29.83235
12/12/18,11:17:00 AM,1000,1.651389,5550.758,16.01382,74.62115,128.9854,0,98.70602,16.51408,7.36303,14369.68,148.2511,0,0,29.83235
12/12/18,11:18:00 AM,1000,1.669722,5570.945,16.01993,74.62115,139.4882,0,98.70602,17.52117,7.36303,14430.44,148.2511,0,0,29.83235
12/12/18,11:19:00 AM,1000,1.685278,5601.067,16.01993,74.62115,149.3153,0,98.70602,17.88739,7.36303,14480.75,148.2511,0,0,29.83235
12/12/18,11:20:00 AM,1000,1.704167,5621.254,16.00772,74.62115,158.3198,0,98.70602,17.88739,7.36303,14541.52,148.2511,0,0,29.83235
12/12/18,11:21:00 AM,1000,1.719722,5641.401,16.01993,74.62115,161.6188,0,98.70602,15.41543,7.36303,14591.91,148.2511,0,0,29.83235
12/12/18,11:22:00 AM,1000,1.735,5671.682,16.01382,74.41544,161.5093,0,98.70602,12.3331,7.36303,14642.77,148.2511,0,0,29.83235
12/12/18,11:23:00 AM,1000,1.753611,5691.75,16.01382,74.41544,165.6134,0,98.70602,12.21103,7.36303,14703.35,148.2511,0,0,29.83235
